no,date,tweet
181,2020/05/04 10:26:42,dua skema program tidak masuk akal sudah jadi pandemi covid perintah telah ubah tuju program kartu prakerja ini jadi bantu masyarakat yang dampak wabah ini adalah skema masalah
182,2020/05/04 10:26:42,jadi konteks gagas adalah program dalam kondisi normal sehingga paksa program sebut di tengah situasi krisis jelas masalah konsep jadi tidak relevan
183,2020/05/04 10:26:41,semua orang pasti masih ingat program ini benar berangkat dari janji kampanye calon presiden joko widodo
184,2020/05/04 10:26:41,lagi pula mau usaha apa atau kerja di mana wong hampir semua usaha masuk sektor informal saat ini semua tutup blt lebih butuh untuk sambung hidup di tengah covid
185,2020/05/04 10:26:40,target serta program ini misal korban putus hubung kerja phk jelas lebih butuh bantu upa cash transfer atau bantu langsung tunai blt daripada latih online
186,2020/05/04 10:26:40,pertama program ini tak relevan atas dampak covid program kartu prakerja tidak jawab krisis yang tengah hadap
187,2020/05/04 10:26:39,jika rumus saya catat tidak ada empat alas kenapa program ini harus anggap masalah
188,2020/05/04 10:26:38,tak tanggungtanggung nilai capai rp triliun atau hanya paut sedikit bawah nilai skandal bank century bahkan ada yg kata bahwa program ini bukan latih digital tapi ampo digital inti laksana program ini cacat dan meleset dari tuju
189,2020/05/04 10:26:38,kritik hadap laksana program kartu prakerja terus muncul datang dari banyak kalang lalu program kartu prakerja perintah nilai hanya sedang tebal kantong jumlah usaha aplikasi digital
190,2020/05/04 10:16:46,rizal ramli singgung jokowi bela sus pudjiastuti fadli zon waketum gerindra lupa sejarah
191,2020/05/04 01:15:00,pak jokowi kami juga kena dampak dari covid ini hasil tidak ada keluar tambah subsidi kami tak terima dan wajar tetapi masa kami harus ikut juga subsidi beban pln biasa sekitar rb rban skrg naik tega nian ini pak
192,2020/05/03 16:17:54,tka china dari bandara haluoleo kendari tidak bisa lewat tuju morosi jika pintu gerbang kota kendari tutup dan pasti kawal puluh ribu masyarakat harap jangan paksa nanti chaos dan rakyat korban
193,2020/05/03 22:23:14,
194,2020/05/03 22:23:00,
195,2020/05/03 22:22:45,fadli zon gereget yang beking tka china pasti punya
196,2020/05/03 22:22:33,soal tka tiongkok fadli zon dukung langkah tegas wali kota kendari
197,2020/05/03 22:22:21,ajak bro ahmaddhaniprast keliling n lihat koleksi
198,2020/05/03 20:20:50,ramai kritik kartu prakerja fadli zon sebut negara dagel publicanews nasional
199,2020/05/03 17:47:19,latih digital vs ampo digital kalau bisa ada yg buat polling
200,2020/05/03 16:03:07,said didu ulang tahun fadli zon jangan tanggung jangan
201,2020/05/03 16:02:57,wna palsu ktp milik dua usah di sultra fadli zon kita sudah jajah
202,2020/05/03 15:57:40,dukung langkah walikota tak usah takut ambil sikap utk penting warga apalagi di saat pandemi covid wali kota kendari tutup pintu bagi tka china kami jaga asa warga
203,2020/05/03 15:00:12,sekali lagi ingat jgn pernah urus dg emakemak mereka punya power yg dahsyat urus dg emakemak kelar idup lu wkwkwkwk
204,2020/05/03 14:45:15,bansos yang salur itu uang negara uang rakyat bukan bantu pribadi aneh kalau tempel gambar macammacam see rocky gerung cecar refly part lucu tunggu tas logo presiden via youtube
205,2020/05/03 14:38:14,kita hidup di zaman dagel klu dulu ada orla orba orde reformasi orre skrg bisa kita nama orda orde dagel tuju
206,2020/05/03 14:22:52,kalau berita ini benar dan diam itu tanda kita sdh jajah
207,2020/05/03 14:15:59,jangan bohong sy yakin byk kerja kita yg bisa sesuai kualifikasi coba transparan n buka informasi jgn akal krn banyak turnkey project
