,date,year,month,day,content,replies,retweet,likes
62,2020-04-14 15:56:39,2020,4,14,dua cegah hambat lalu lintas barang gera orang batas tapi gera barang tidak boleh hambat utama bahan pokok obat dan alat sehat asean harus milik atur sama bagai rujuk untuk hindar lemah ekonomi kawasan,26,160,1514
63,2020-04-14 15:56:12,2020,4,14,ekonomi kawasan asean prediksi hanya akan tumbuh sekitar tahun ini karena itu negaranegara asean perlu kerja sama untuk pertama putus mata rantai sebar virus di masingmasing negara di kawasan asean dan di batas,184,683,5915
64,2020-04-14 15:53:04,2020,4,14,konferensi tingkat tinggi asean khusus tentang covid langsung cara virtual siang ini yang ikut seluruh pimpin negara asean saya ikut ktt ini dari istana presiden bogor,196,706,6888
65,2020-04-13 14:50:16,2020,4,13,saya dengar berita tentang warga satu kompleks di cimahi yang nyata positif covid dan jalan isolasi mandiri tetapi tetanggatetangganya bantu tidak justru kucil kegotongroyongan seperti ini yang harus terus kita gaung,1129,5747,25272
66,2020-04-13 14:30:04,2020,4,13,saya telah perintah kepada menteri sosial dan menteri uang agar semua bijak itu baik kartu prakerja pkh program keluarga harap bantu sosial langsung kartu sembako maupun bagi sembako di jabodetabek minggu ini juga bisa jalan,228,240,2077
67,2020-04-13 14:29:14,2020,4,13,fao telah ingat potensi langka pangan dunia susul pandemi covid di sini selain pasti sedia bahan pokok perintah telah keluar jumlah bijak untuk jaga daya beli masyarakat dan beri bantu bahan pokok yang amat butuh,368,864,5517
68,2020-04-13 13:48:24,2020,4,13,dulu hanya ada tiga lab uji sampel tes pcr polymerase chain reaction sekarang sudah ada lab dari yang kita siap tambah lab ini salah satu upaya cepat periksa sampel lalu tes pcr saya harap periksa dapat laku di atas tes per hari,586,1874,9667
69,2020-04-11 18:01:51,2020,4,11,batas sosial dan protokol sehat yang ketat sudah kita terap untuk kendali sebar covid sementara untuk kurang dampak ekonomi yang ikut perintah keluar paket insentif ekonomi untuk warga rumah tangga juga dunia usaha,162,342,2355
70,2020-04-11 17:58:51,2020,4,11,batas sosial dan protokol sehat yang ketat sudah kita terap untuk kendali sebar covid sementara untuk kurang dampak ekonomi yang ikut perintah keluar paket insentif ekonomi untuk warga rumah tangga juga dunia usaha,140,429,2879
71,2020-04-11 17:47:00,2020,4,11,batas sosial dan protokol sehat yang ketat sudah kita terap untuk kendali sebar covid sementara untuk kurang dampak ekonomi yang ikut perintah keluar paket insentif ekonomi untuk warga rumah tangga juga dunia usaha,708,1971,10253
